CORR_ANS,item_X,tripletid,file_X,onset_X,offset_X,word_X,speaker_X,CV_X,context_X,phone_X,distance_OTH,context_OTH,CV_OTH,file_OTH,item_OTH,offset_OTH,onset_OTH,phone_OTH,speaker_OTH,word_OTH,distance_TGT,context_TGT,CV_TGT,file_TGT,item_TGT,offset_TGT,onset_TGT,phone_TGT,speaker_TGT,word_TGT
B,amelia_consonants_27,stimulus121_B,raw/amelia_consonants.wav,72.1025,72.7625,AFAH,amelia,C,A,f,4.10390594565974,A,C,raw/ewan.wav,ewan_97,280.3225,279.7725,θ,ewan,ATHAH,4.24981113527294,A,C,raw/ewan.wav,ewan_76,224.8825,224.3325,f,ewan,AFAH
B,ewan_101,stimulus122_B,raw/ewan.wav,290.0925,290.7225,EETHEE,ewan,C,I,θ,4.04668270699747,I,C,raw/amelia_consonants.wav,amelia_consonants_31,83.39679,82.6725,f,amelia,EEFEE,3.46955165020869,I,C,raw/amelia_consonants.wav,amelia_consonants_55,145.8925,145.1325,θ,amelia,EETHEE
A,ewan_21,stimulus123_A,raw/ewan.wav,60.9271,61.7525,HEEDI,ewan,V,I,i,4.47735558605345,I,V,raw/amelia_vowels.wav,amelia_vowels_5,13.30968,12.5659,ɑ,amelia,HADI,3.87968162779801,I,V,raw/amelia_vowels.wav,amelia_vowels_22,58.41293,57.64913,i,amelia,HEEDI
A,amelia_consonants_55,stimulus124_A,raw/amelia_consonants.wav,145.1325,145.8925,EETHEE,amelia,C,I,θ,3.38528099522699,I,C,raw/ewan.wav,ewan_80,236.2625,235.6825,f,ewan,EEFEE,3.46955165020869,I,C,raw/ewan.wav,ewan_101,290.7225,290.0925,θ,ewan,EETHEE
A,amelia_consonants_31,stimulus125_A,raw/amelia_consonants.wav,82.6725,83.39679,EEFEE,amelia,C,I,f,3.75413161617826,I,C,raw/ewan.wav,ewan_62,185.7725,185.2225,t,ewan,EETEE,3.47514441261767,I,C,raw/ewan.wav,ewan_80,236.2625,235.6825,f,ewan,EEFEE
B,ewan_80,stimulus126_B,raw/ewan.wav,235.6825,236.2625,EEFEE,ewan,C,I,f,4.13806171230808,I,C,raw/amelia_consonants.wav,amelia_consonants_14,37.21308,36.60264,t,amelia,EETEE,3.47514441261767,I,C,raw/amelia_consonants.wav,amelia_consonants_31,83.39679,82.6725,f,amelia,EEFEE
B,ewan_59,stimulus127_B,raw/ewan.wav,177.0325,177.5625,ATAH,ewan,C,A,t,4.65108358934467,A,C,raw/amelia_consonants.wav,amelia_consonants_27,72.7625,72.1025,f,amelia,AFAH,4.72243690618866,A,C,raw/amelia_consonants.wav,amelia_consonants_9,24.1025,23.47667,t,amelia,ATAH
A,amelia_consonants_9,stimulus128_A,raw/amelia_consonants.wav,23.476670000000002,24.1025,ATAH,amelia,C,A,t,4.79461879513725,A,C,raw/ewan.wav,ewan_76,224.8825,224.3325,f,ewan,AFAH,4.72243690618866,A,C,raw/ewan.wav,ewan_59,177.5625,177.0325,t,ewan,ATAH
A,amelia_consonants_23,stimulus129_A,raw/amelia_consonants.wav,61.4825,62.1525,EEKEE,amelia,C,I,k,4.05337553908388,I,C,raw/ewan.wav,ewan_56,169.3025,168.7025,p,ewan,EEPEE,3.42602549013817,I,C,raw/ewan.wav,ewan_71,211.2825,210.7425,k,ewan,EEKEE
B,amelia_consonants_20,stimulus130_B,raw/amelia_consonants.wav,53.0271,53.6525,AKAH,amelia,C,A,k,5.52672677265288,A,C,raw/ewan.wav,ewan_50,153.4425,152.8525,p,ewan,APAH,3.94648174249628,A,C,raw/ewan.wav,ewan_68,201.7625,201.2425,k,ewan,AKAH
B,ewan_56,stimulus131_B,raw/ewan.wav,168.7025,169.3025,EEPEE,ewan,C,I,p,4.05337553908388,I,C,raw/amelia_consonants.wav,amelia_consonants_23,62.1525,61.4825,k,amelia,EEKEE,4.06553726026763,I,C,raw/amelia_consonants.wav,amelia_consonants_7,18.54394,17.98056,p,amelia,EEPEE
A,ewan_50,stimulus132_A,raw/ewan.wav,152.8525,153.4425,APAH,ewan,C,A,p,5.52672677265288,A,C,raw/amelia_consonants.wav,amelia_consonants_20,53.6525,53.0271,k,amelia,AKAH,4.8822503414671,A,C,raw/amelia_consonants.wav,amelia_consonants_3,7.93251,7.31359,p,amelia,APAH
A,ewan_71,stimulus133_A,raw/ewan.wav,210.7425,211.2825,EEKEE,ewan,C,I,k,3.61620617586521,I,C,raw/amelia_consonants.wav,amelia_consonants_46,122.6025,121.8625,ʃ,amelia,EESHEE,3.42602549013817,I,C,raw/amelia_consonants.wav,amelia_consonants_23,62.1525,61.4825,k,amelia,EEKEE
A,amelia_vowels_5,stimulus134_A,raw/amelia_vowels.wav,12.5659,13.309679999999998,HADI,amelia,V,I,ɑ,4.08333256610454,I,V,raw/ewan.wav,ewan_37,109.8025,109.0925,ʊ,ewan,HOODI,4.24158644606135,I,V,raw/ewan.wav,ewan_8,23.01587,22.3965,ɑ,ewan,HADI
B,amelia_consonants_23,stimulus135_B,raw/amelia_consonants.wav,61.4825,62.1525,EEKEE,amelia,C,I,k,4.16230383122121,I,C,raw/ewan.wav,ewan_96,277.3325,276.7625,ʃ,ewan,EESHEE,3.42602549013817,I,C,raw/ewan.wav,ewan_71,211.2825,210.7425,k,ewan,EEKEE
B,ewan_92,stimulus136_B,raw/ewan.wav,266.7625,267.2825,ASHAH,ewan,C,A,ʃ,4.83891526902086,A,C,raw/amelia_consonants.wav,amelia_consonants_20,53.6525,53.0271,k,amelia,AKAH,3.70289034107935,A,C,raw/amelia_consonants.wav,amelia_consonants_42,112.9325,112.2325,ʃ,amelia,ASHAH
A,amelia_consonants_42,stimulus137_A,raw/amelia_consonants.wav,112.2325,112.9325,ASHAH,amelia,C,A,ʃ,3.86749955321517,A,C,raw/ewan.wav,ewan_68,201.7625,201.2425,k,ewan,AKAH,3.70289034107935,A,C,raw/ewan.wav,ewan_92,267.2825,266.7625,ʃ,ewan,ASHAH
A,ewan_71,stimulus138_A,raw/ewan.wav,210.7425,211.2825,EEKEE,ewan,C,I,k,3.799940275627,I,C,raw/amelia_consonants.wav,amelia_consonants_38,102.63328,101.9725,s,amelia,EESSEE,3.42602549013817,I,C,raw/amelia_consonants.wav,amelia_consonants_23,62.1525,61.4825,k,amelia,EEKEE
B,amelia_consonants_23,stimulus139_B,raw/amelia_consonants.wav,61.4825,62.1525,EEKEE,amelia,C,I,k,4.04369233924055,I,C,raw/ewan.wav,ewan_87,255.0425,254.4625,s,ewan,EESSEE,3.42602549013817,I,C,raw/ewan.wav,ewan_71,211.2825,210.7425,k,ewan,EEKEE
B,ewan_83,stimulus140_B,raw/ewan.wav,244.4025,244.9725,ASSAH,ewan,C,A,s,5.08300976501805,A,C,raw/amelia_consonants.wav,amelia_consonants_20,53.6525,53.0271,k,amelia,AKAH,4.50512958002086,A,C,raw/amelia_consonants.wav,amelia_consonants_34,92.1125,91.35499,s,amelia,ASSAH
A,amelia_consonants_34,stimulus141_A,raw/amelia_consonants.wav,91.35499,92.1125,ASSAH,amelia,C,A,s,4.14313735613217,A,C,raw/ewan.wav,ewan_68,201.7625,201.2425,k,ewan,AKAH,4.50512958002086,A,C,raw/ewan.wav,ewan_83,244.9725,244.4025,s,ewan,ASSAH
A,ewan_68,stimulus142_A,raw/ewan.wav,201.2425,201.7625,AKAH,ewan,C,A,k,3.69270327799411,A,C,raw/amelia_consonants.wav,amelia_consonants_49,130.6925,129.9825,θ,amelia,ATHAH,3.94648174249628,A,C,raw/amelia_consonants.wav,amelia_consonants_20,53.6525,53.0271,k,amelia,AKAH
B,amelia_consonants_20,stimulus143_B,raw/amelia_consonants.wav,53.0271,53.6525,AKAH,amelia,C,A,k,4.8319721027675,A,C,raw/ewan.wav,ewan_97,280.3225,279.7725,θ,ewan,ATHAH,3.94648174249628,A,C,raw/ewan.wav,ewan_68,201.7625,201.2425,k,ewan,AKAH
B,amelia_consonants_55,stimulus144_B,raw/amelia_consonants.wav,145.1325,145.8925,EETHEE,amelia,C,I,θ,3.71138120918304,I,C,raw/ewan.wav,ewan_71,211.2825,210.7425,k,ewan,EEKEE,3.46955165020869,I,C,raw/ewan.wav,ewan_101,290.7225,290.0925,θ,ewan,EETHEE
