_segment,_spec_id,econ,loc,glob
X,Spec1,0.06477732793522267,0.9090909090909091,0.2222222222222222
X,Spec2,0.14166666666666666,0.7297297297297297,0.36363636363636365
X,Spec3,0.14166666666666666,0.972972972972973,
X,Spec4,0.06477732793522267,0.8181818181818182,0.4666666666666667
X,Spec5,0.06477732793522267,0.8484848484848485,0.07142857142857142
X,Spec6,0.14166666666666666,0.6756756756756757,0.2
X,Spec7,0.14166666666666666,0.8378378378378378,0.16666666666666666
X,Spec8,0.06477732793522267,0.7878787878787878,0.2
X,Spec9,0.013820335636722606,0.7142857142857143,0.5
X,Spec10,0.029880478087649404,0.5454545454545454,0.5833333333333334
X,Spec11,0.029880478087649404,0.5757575757575758,0.48
X,Spec12,0.029880478087649404,0.6666666666666666,0.75
X,Spec13,0.029880478087649404,0.696969696969697,0.64
X,Spec14,0.06477732793522267,0.9090909090909091,0.3333333333333333
X,Spec15,0.06477732793522267,0.9090909090909091,0.6666666666666666
X,Spec16,0.06477732793522267,0.9090909090909091,0.6666666666666666
X,Spec17,0.14166666666666666,0.7567567567567568,0.5
X,Spec18,0.06477732793522267,0.5454545454545454,0.5217391304347826
X,Spec19,0.06477732793522267,0.8181818181818182,0.6666666666666666
X,Spec20,0.06477732793522267,0.8181818181818182,0.5333333333333333
X,Spec21,0.029880478087649404,0.6363636363636364,0.38461538461538464
X,Spec22,0.06477732793522267,0.5757575757575758,0.2857142857142857
X,Spec23,0.06477732793522267,0.7575757575757576,0.4444444444444444
X,Spec24,0.029880478087649404,0.5757575757575758,0.36
X,Spec25,0.029880478087649404,0.6363636363636364,0.38461538461538464
X,Spec26,0.06477732793522267,0.5757575757575758,0.2857142857142857
X,Spec27,0.06477732793522267,0.7575757575757576,0.4444444444444444
X,Spec28,0.029880478087649404,0.6060606060606061,0.32
X,Spec29,0.029880478087649404,0.6060606060606061,0.44
X,Spec30,0.06477732793522267,0.5454545454545454,0.391304347826087
X,Spec31,0.06477732793522267,0.7272727272727273,0.5555555555555556
X,Spec32,0.029880478087649404,0.5454545454545454,0.4583333333333333
