file_TGT,onset_TGT,offset_TGT,file_OTH,onset_OTH,offset_OTH,file_X,onset_X,offset_X
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,45.349750,46.002500,ewan.wav,224.332500,224.882500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,47.945240,48.562500,ewan.wav,216.932500,217.482500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,47.945240,48.562500,ewan.wav,219.372500,219.922500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,47.945240,48.562500,ewan.wav,221.872500,222.392500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,47.945240,48.562500,ewan.wav,224.332500,224.882500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,50.403060,51.042500,ewan.wav,216.932500,217.482500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,50.403060,51.042500,ewan.wav,219.372500,219.922500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,50.403060,51.042500,ewan.wav,224.332500,224.882500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,50.403060,51.042500,ewan.wav,221.872500,222.392500
amelia_consonants.wav,67.492500,68.112500,amelia_consonants.wav,45.349750,46.002500,ewan.wav,219.372500,219.922500
amelia_consonants.wav,67.492500,68.112500,amelia_consonants.wav,47.945240,48.562500,ewan.wav,219.372500,219.922500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,53.027100,53.652500,ewan.wav,221.872500,222.392500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,53.027100,53.652500,ewan.wav,224.332500,224.882500
amelia_consonants.wav,72.102500,72.762500,amelia_consonants.wav,53.027100,53.652500,ewan.wav,224.332500,224.882500
amelia_consonants.wav,67.492500,68.112500,amelia_consonants.wav,45.349750,46.002500,ewan.wav,216.932500,217.482500
amelia_consonants.wav,67.492500,68.112500,amelia_consonants.wav,45.349750,46.002500,ewan.wav,221.872500,222.392500
amelia_consonants.wav,67.492500,68.112500,amelia_consonants.wav,45.349750,46.002500,ewan.wav,224.332500,224.882500
amelia_consonants.wav,67.492500,68.112500,amelia_consonants.wav,47.945240,48.562500,ewan.wav,216.932500,217.482500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,7.313590,7.932510,ewan.wav,224.332500,224.882500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,9.591780,10.170640,ewan.wav,216.932500,217.482500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,9.591780,10.170640,ewan.wav,219.372500,219.922500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,9.591780,10.170640,ewan.wav,221.872500,222.392500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,9.591780,10.170640,ewan.wav,224.332500,224.882500
amelia_consonants.wav,69.742500,70.412500,amelia_consonants.wav,9.591780,10.170640,ewan.wav,221.872500,222.392500
amelia_consonants.wav,69.742500,70.412500,amelia_consonants.wav,7.313590,7.932510,ewan.wav,221.872500,222.392500
amelia_consonants.wav,69.742500,70.412500,amelia_consonants.wav,7.313590,7.932510,ewan.wav,224.332500,224.882500
amelia_consonants.wav,72.102500,72.762500,amelia_consonants.wav,2.541720,3.116380,ewan.wav,216.932500,217.482500
amelia_consonants.wav,69.742500,70.412500,amelia_consonants.wav,9.591780,10.170640,ewan.wav,216.932500,217.482500
amelia_consonants.wav,69.742500,70.412500,amelia_consonants.wav,9.591780,10.170640,ewan.wav,224.332500,224.882500
amelia_consonants.wav,69.742500,70.412500,amelia_consonants.wav,9.591780,10.170640,ewan.wav,219.372500,219.922500
amelia_consonants.wav,72.102500,72.762500,amelia_consonants.wav,2.541720,3.116380,ewan.wav,219.372500,219.922500
amelia_consonants.wav,72.102500,72.762500,amelia_consonants.wav,5.009970,5.586070,ewan.wav,221.872500,222.392500
amelia_consonants.wav,72.102500,72.762500,amelia_consonants.wav,2.541720,3.116380,ewan.wav,224.332500,224.882500
amelia_consonants.wav,69.742500,70.412500,amelia_consonants.wav,7.313590,7.932510,ewan.wav,219.372500,219.922500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,2.541720,3.116380,ewan.wav,216.932500,217.482500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,2.541720,3.116380,ewan.wav,219.372500,219.922500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,2.541720,3.116380,ewan.wav,221.872500,222.392500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,2.541720,3.116380,ewan.wav,224.332500,224.882500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,5.009970,5.586070,ewan.wav,216.932500,217.482500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,5.009970,5.586070,ewan.wav,219.372500,219.922500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,5.009970,5.586070,ewan.wav,221.872500,222.392500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,5.009970,5.586070,ewan.wav,224.332500,224.882500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,7.313590,7.932510,ewan.wav,216.932500,217.482500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,7.313590,7.932510,ewan.wav,219.372500,219.922500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,7.313590,7.932510,ewan.wav,221.872500,222.392500
amelia_consonants.wav,72.102500,72.762500,amelia_consonants.wav,9.591780,10.170640,ewan.wav,224.332500,224.882500
amelia_consonants.wav,72.102500,72.762500,amelia_consonants.wav,9.591780,10.170640,ewan.wav,221.872500,222.392500
amelia_consonants.wav,72.102500,72.762500,amelia_consonants.wav,9.591780,10.170640,ewan.wav,219.372500,219.922500
amelia_consonants.wav,72.102500,72.762500,amelia_consonants.wav,9.591780,10.170640,ewan.wav,216.932500,217.482500
amelia_consonants.wav,72.102500,72.762500,amelia_consonants.wav,7.313590,7.932510,ewan.wav,224.332500,224.882500
amelia_consonants.wav,72.102500,72.762500,amelia_consonants.wav,7.313590,7.932510,ewan.wav,221.872500,222.392500
amelia_consonants.wav,72.102500,72.762500,amelia_consonants.wav,7.313590,7.932510,ewan.wav,219.372500,219.922500
amelia_consonants.wav,72.102500,72.762500,amelia_consonants.wav,7.313590,7.932510,ewan.wav,216.932500,217.482500
amelia_consonants.wav,72.102500,72.762500,amelia_consonants.wav,5.009970,5.586070,ewan.wav,224.332500,224.882500
amelia_consonants.wav,72.102500,72.762500,amelia_consonants.wav,5.009970,5.586070,ewan.wav,219.372500,219.922500
amelia_consonants.wav,72.102500,72.762500,amelia_consonants.wav,5.009970,5.586070,ewan.wav,216.932500,217.482500
amelia_consonants.wav,72.102500,72.762500,amelia_consonants.wav,2.541720,3.116380,ewan.wav,221.872500,222.392500
amelia_consonants.wav,69.742500,70.412500,amelia_consonants.wav,7.313590,7.932510,ewan.wav,216.932500,217.482500
amelia_consonants.wav,67.492500,68.112500,amelia_consonants.wav,2.541720,3.116380,ewan.wav,216.932500,217.482500
amelia_consonants.wav,69.742500,70.412500,amelia_consonants.wav,5.009970,5.586070,ewan.wav,221.872500,222.392500
amelia_consonants.wav,69.742500,70.412500,amelia_consonants.wav,5.009970,5.586070,ewan.wav,224.332500,224.882500
amelia_consonants.wav,67.492500,68.112500,amelia_consonants.wav,9.591780,10.170640,ewan.wav,224.332500,224.882500
amelia_consonants.wav,67.492500,68.112500,amelia_consonants.wav,9.591780,10.170640,ewan.wav,221.872500,222.392500
amelia_consonants.wav,67.492500,68.112500,amelia_consonants.wav,9.591780,10.170640,ewan.wav,219.372500,219.922500
amelia_consonants.wav,67.492500,68.112500,amelia_consonants.wav,9.591780,10.170640,ewan.wav,216.932500,217.482500
amelia_consonants.wav,67.492500,68.112500,amelia_consonants.wav,7.313590,7.932510,ewan.wav,224.332500,224.882500
amelia_consonants.wav,67.492500,68.112500,amelia_consonants.wav,7.313590,7.932510,ewan.wav,221.872500,222.392500
amelia_consonants.wav,67.492500,68.112500,amelia_consonants.wav,7.313590,7.932510,ewan.wav,216.932500,217.482500
amelia_consonants.wav,67.492500,68.112500,amelia_consonants.wav,5.009970,5.586070,ewan.wav,224.332500,224.882500
amelia_consonants.wav,67.492500,68.112500,amelia_consonants.wav,5.009970,5.586070,ewan.wav,221.872500,222.392500
amelia_consonants.wav,67.492500,68.112500,amelia_consonants.wav,7.313590,7.932510,ewan.wav,219.372500,219.922500
amelia_consonants.wav,67.492500,68.112500,amelia_consonants.wav,5.009970,5.586070,ewan.wav,216.932500,217.482500
amelia_consonants.wav,69.742500,70.412500,amelia_consonants.wav,5.009970,5.586070,ewan.wav,219.372500,219.922500
amelia_consonants.wav,67.492500,68.112500,amelia_consonants.wav,5.009970,5.586070,ewan.wav,219.372500,219.922500
amelia_consonants.wav,69.742500,70.412500,amelia_consonants.wav,2.541720,3.116380,ewan.wav,224.332500,224.882500
amelia_consonants.wav,69.742500,70.412500,amelia_consonants.wav,2.541720,3.116380,ewan.wav,221.872500,222.392500
amelia_consonants.wav,69.742500,70.412500,amelia_consonants.wav,2.541720,3.116380,ewan.wav,219.372500,219.922500
amelia_consonants.wav,69.742500,70.412500,amelia_consonants.wav,5.009970,5.586070,ewan.wav,216.932500,217.482500
amelia_consonants.wav,67.492500,68.112500,amelia_consonants.wav,2.541720,3.116380,ewan.wav,219.372500,219.922500
amelia_consonants.wav,67.492500,68.112500,amelia_consonants.wav,2.541720,3.116380,ewan.wav,221.872500,222.392500
amelia_consonants.wav,67.492500,68.112500,amelia_consonants.wav,2.541720,3.116380,ewan.wav,224.332500,224.882500
amelia_consonants.wav,69.742500,70.412500,amelia_consonants.wav,2.541720,3.116380,ewan.wav,216.932500,217.482500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,110.117540,110.782500,ewan.wav,216.932500,217.482500
amelia_consonants.wav,67.492500,68.112500,amelia_consonants.wav,114.372500,115.082500,ewan.wav,216.932500,217.482500
amelia_consonants.wav,67.492500,68.112500,amelia_consonants.wav,114.372500,115.082500,ewan.wav,219.372500,219.922500
amelia_consonants.wav,67.492500,68.112500,amelia_consonants.wav,114.372500,115.082500,ewan.wav,221.872500,222.392500
amelia_consonants.wav,67.492500,68.112500,amelia_consonants.wav,114.372500,115.082500,ewan.wav,224.332500,224.882500
amelia_consonants.wav,67.492500,68.112500,amelia_consonants.wav,116.492500,117.162500,ewan.wav,216.932500,217.482500
amelia_consonants.wav,67.492500,68.112500,amelia_consonants.wav,116.492500,117.162500,ewan.wav,219.372500,219.922500
amelia_consonants.wav,67.492500,68.112500,amelia_consonants.wav,116.492500,117.162500,ewan.wav,221.872500,222.392500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,110.117540,110.782500,ewan.wav,219.372500,219.922500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,116.492500,117.162500,ewan.wav,216.932500,217.482500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,110.117540,110.782500,ewan.wav,224.332500,224.882500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,112.232500,112.932500,ewan.wav,216.932500,217.482500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,112.232500,112.932500,ewan.wav,219.372500,219.922500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,112.232500,112.932500,ewan.wav,221.872500,222.392500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,112.232500,112.932500,ewan.wav,224.332500,224.882500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,114.372500,115.082500,ewan.wav,216.932500,217.482500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,114.372500,115.082500,ewan.wav,219.372500,219.922500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,114.372500,115.082500,ewan.wav,221.872500,222.392500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,114.372500,115.082500,ewan.wav,224.332500,224.882500
amelia_consonants.wav,67.492500,68.112500,amelia_consonants.wav,112.232500,112.932500,ewan.wav,224.332500,224.882500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,110.117540,110.782500,ewan.wav,221.872500,222.392500
amelia_consonants.wav,67.492500,68.112500,amelia_consonants.wav,112.232500,112.932500,ewan.wav,221.872500,222.392500
amelia_consonants.wav,72.102500,72.762500,amelia_consonants.wav,110.117540,110.782500,ewan.wav,224.332500,224.882500
amelia_consonants.wav,67.492500,68.112500,amelia_consonants.wav,112.232500,112.932500,ewan.wav,216.932500,217.482500
amelia_consonants.wav,72.102500,72.762500,amelia_consonants.wav,116.492500,117.162500,ewan.wav,224.332500,224.882500
amelia_consonants.wav,72.102500,72.762500,amelia_consonants.wav,116.492500,117.162500,ewan.wav,221.872500,222.392500
amelia_consonants.wav,72.102500,72.762500,amelia_consonants.wav,116.492500,117.162500,ewan.wav,219.372500,219.922500
amelia_consonants.wav,72.102500,72.762500,amelia_consonants.wav,116.492500,117.162500,ewan.wav,216.932500,217.482500
